"","id","title","text","url","media_id","published_on","created_at","user","user_id","user_image","attached_image_url","social_media","social_media_custom_name","search_term","polarization","reach","favorite","tags","latitude","longitude","media_parent_id","country","country_short","state","state_short","city","gender","notes","tag","tag.1","tag.2","tag.3","tag.4"
"1",285836,"Twitter - Palavra-chave","08:05 BA-099, Estrada do Coco, sentido Aracajú, trânsito fluindo normalmente.","http://twitter.com/LitoralNorte/statuses/1106511677602873344","1106511677602873344","2019-03-15 08:05:16 -0300","2019-03-15 08:49:06 -0300","LitoralNorte",NA,"https://pbs.twimg.com/profile_images/1103975048493318151/HLGYyyUK_normal.png","","twitter","","""estrada do coco""","não avaliada",51,"false","",-12.579738,-41.7007272,"","Brazil","BR","Bahia","BA","","","","","","","",""
"2",285837,"Twitter - Palavra-chave","07:05  BA-099, Estrada do Coco, sentido Salvador, trânsito fluindo normalmente.","http://twitter.com/LitoralNorte/statuses/1106496732945371137","1106496732945371137","2019-03-15 07:05:53 -0300","2019-03-15 08:49:06 -0300","LitoralNorte",NA,"https://pbs.twimg.com/profile_images/1103975048493318151/HLGYyyUK_normal.png","","twitter","","""estrada do coco""","não avaliada",51,"false","",-12.579738,-41.7007272,"","Brazil","BR","Bahia","BA","","","","","","","",""
"3",285771,"Twitter - Palavra chave","00:06 BA-099, Estrada do Coco, sentido Aracajú, trânsito fluindo normalmente.","http://twitter.com/LitoralNorte/statuses/1106391150846533633","1106391150846533633","2019-03-15 00:06:20 -0300","2019-03-15 00:36:52 -0300","LitoralNorte",1013834799566516224,"https://pbs.twimg.com/profile_images/1103975048493318151/HLGYyyUK_normal.png","","twitter","","""estrada do coco""","não avaliada",51,"false","",-12.579738,-41.7007272,"","Brazil","BR","Bahia","BA","","","","","","","",""
"4",285770,"Twitter - Palavra chave","23:01  BA-099, Estrada do Coco, sentido Salvador, trânsito fluindo normalmente.","http://twitter.com/LitoralNorte/statuses/1106374992692985860","1106374992692985860","2019-03-14 23:02:08 -0300","2019-03-14 23:19:27 -0300","LitoralNorte",1013834799566516224,"https://pbs.twimg.com/profile_images/1103975048493318151/HLGYyyUK_normal.png","","twitter","","""estrada do coco""","não avaliada",51,"false","",-12.579738,-41.7007272,"","Brazil","BR","Bahia","BA","","","","","","","",""
"5",285737,"Facebook Posts em Page (comentário)","Tá precisando de um castra móvel também","http://www.facebook.com/1411969378822513/posts/2302772429742199?comment_id=2303296763023099","2302772429742199_2303296763023099","2019-03-14 19:40:29 -0300","2019-03-14 19:40:36 -0300","Lilian Sa",2262073463823961,"https://hi-fbmessages-attachments.s3.amazonaws.com/profile_picture_2262073463823961.jpg?AWSAccessKeyId=AKIAJGQXSCCF2KA57P4Q&Expires=2025643234&Signature=KBTkZyfsI2BGEDqQCCoQOh3XLSs%3D","","facebook_posts_em_page","Prefeitura de Lauro de Freitas","","não avaliada",1,"false","",NA,NA,"1411969378822513_2302772429742199","","","","","","F","","","","","",""
"6",285804,"Facebook Public Pages","A Pré-Conferência de Saúde vai acontecer no 16 de março, com atividades realizadas em quatro bairros. Este ano, o tema é Democracia e Saúde: saúde como direito e consolidação e financiamento do SUS. O evento busca analisar as prioridades locais de saúde, formular propostas no âmbito distrital, além da elaboração de relatório de cada localidade. A atividade é aberta ao público. Participe! https://www.facebook.com/PrefeituradeLaurodeFreitas/photos/a.1417343734951744/2302874799731962/?type=3","http://www.facebook.com/PrefeituradeLaurodeFreitas/posts/2302876033065172","2302876033065172","2019-03-14 17:00:01 -0300","2019-03-15 03:52:48 -0300","Prefeitura de Lauro de Freitas",1411969378822513,"https://graph.facebook.com/1411969378822513/picture?width=48&height=48","https://scontent.xx.fbcdn.net/v/t1.0-9/p720x720/53421850_2302874806398628_5053001093571674112_o.png?_nc_cat=103&_nc_ht=scontent.xx&oh=2e832470441383bccb400ca40dc83293&oe=5D04DA4B","facebook_public_pages","","#prefeituradelaurodefreitas","não avaliada",3,"false","",NA,NA,"","","","","","","","","","","","",""
"7",285671,"Facebook Posts em Page (comentário)","De uma forma ou de outra o assédio é crime para ambas partes tanto para o homem quanto para a mulher.","http://www.facebook.com/1411969378822513/posts/2302854533067322?comment_id=2303094376376671","2302854533067322_2303094376376671","2019-03-14 16:26:29 -0300","2019-03-14 16:26:36 -0300","Naiara Severo Nair",2511970695499775,"https://hi-fbmessages-attachments.s3.amazonaws.com/profile_picture_2511970695499775.jpg?AWSAccessKeyId=AKIAJGQXSCCF2KA57P4Q&Expires=2025631596&Signature=mNnT226ZB1Fkrq20EYRHEX4wa74%3D","","facebook_posts_em_page","Prefeitura de Lauro de Freitas","","não avaliada",1,"false","",NA,NA,"1411969378822513_2302854533067322","","","","","","F","","","","","",""
"8",285640,"Facebook Posts em Page (comentário)","ela pode se vestir menos razdocul","http://www.facebook.com/1411969378822513/posts/2302854533067322?comment_id=2303019123050863","2302854533067322_2303019123050863","2019-03-14 15:09:46 -0300","2019-03-14 15:09:54 -0300","Haulotte Guy",1928744277174904,"https://hi-fbmessages-attachments.s3.amazonaws.com/profile_picture_1928744277174904.jpg?AWSAccessKeyId=AKIAJGQXSCCF2KA57P4Q&Expires=2025626993&Signature=LgRVr6gtsx%2FPaC6KbpLhpCxPqf8%3D","","facebook_posts_em_page","Prefeitura de Lauro de Freitas","","não avaliada",1,"false","",NA,NA,"1411969378822513_2302854533067322","","","","","","M","","","","","",""
"9",285639,"Facebook Posts em Page (comentário)","Concordo sim q assédio é crime e quem fizer tem q ser preso","http://www.facebook.com/1411969378822513/posts/2302854533067322?comment_id=2303011483051627","2302854533067322_2303011483051627","2019-03-14 15:02:35 -0300","2019-03-14 15:02:42 -0300","André Purificação",2068640193156699,"https://hi-fbmessages-attachments.s3.amazonaws.com/profile_picture_2068640193156699.jpg?AWSAccessKeyId=AKIAJGQXSCCF2KA57P4Q&Expires=2025626562&Signature=OFBRMr9V%2B3xTtqKcg8r%2Bqukd2qg%3D","","facebook_posts_em_page","Prefeitura de Lauro de Freitas","","não avaliada",1,"false","",NA,NA,"1411969378822513_2302854533067322","","","","","","M","","","","","",""
"10",285638,"Facebook Posts em Page (comentário)","A Biblia diz q ao marido também, agora ninguém pode ser forçado a nada como muitos pensam","http://www.facebook.com/1411969378822513/posts/2302854533067322?comment_id=2303010669718375","2302854533067322_2303010669718375","2019-03-14 15:01:47 -0300","2019-03-14 15:01:57 -0300","André Purificação",2068640193156699,"https://hi-fbmessages-attachments.s3.amazonaws.com/profile_picture_2068640193156699.jpg?AWSAccessKeyId=AKIAJGQXSCCF2KA57P4Q&Expires=2025626515&Signature=8GNe7bPdNOre1c%2BDk6k5VrGMePw%3D","","facebook_posts_em_page","Prefeitura de Lauro de Freitas","","não avaliada",1,"false","",NA,NA,"1411969378822513_2302854533067322","","","","","","M","","","","","",""
"11",285805,"Facebook Public Pages","Assédio sexual é crime em qualquer ambiente ou situação. O corpo da mulher só pertence a ela. Para todo e qualquer tipo de violência contra mulher, dique 180! https://www.facebook.com/PrefeituradeLaurodeFreitas/photos/a.1417343734951744/2302832116402897/?type=3","http://www.facebook.com/PrefeituradeLaurodeFreitas/posts/2302854533067322","2302854533067322","2019-03-14 15:00:04 -0300","2019-03-15 03:52:48 -0300","Prefeitura de Lauro de Freitas",1411969378822513,"https://graph.facebook.com/1411969378822513/picture?width=48&height=48","https://scontent.xx.fbcdn.net/v/t1.0-9/s720x720/53671999_2302832126402896_7188687230913740800_o.jpg?_nc_cat=102&_nc_ht=scontent.xx&oh=0ccf88c62b4fc561e6954fdb505ce3fd&oe=5D051CAE","facebook_public_pages","","#prefeituradelaurodefreitas","não avaliada",16,"false","",NA,NA,"","","","","","","","","","","","",""
"12",285642,"Twitter - Palavra chave","14:54 BA-099, Estrada do Coco, sentido Aracajú, trânsito fluindo normalmente.","http://twitter.com/LitoralNorte/statuses/1106252470349713409","1106252470349713409","2019-03-14 14:55:16 -0300","2019-03-14 15:27:10 -0300","LitoralNorte",1013834799566516224,"https://pbs.twimg.com/profile_images/1103975048493318151/HLGYyyUK_normal.png","","twitter","","""estrada do coco""","não avaliada",51,"false","",-12.579738,-41.7007272,"","Brazil","BR","Bahia","BA","","","","","","","",""
"13",285605,"Facebook Messages","Boa tarde.Gostaria se tiver um grupo de classificados da cidade.Meu esposo  está vendo um serviço aí.Eu acredito que já deu certo.Dai iremos embora com a familia pra ai.preciso ver sobre casas pra alugar.Se puder ajudar agradeço.Extou amando ver fotos da cidade.Eu sou Teresa Armanda 67 9 9999 5653 sou de MS.gratidao","http://www.facebook.com/messages/t_2220364081355640#m_IbM5R-X-7PeYbw90oYRbKMhrOutXbnmzvUNqeyync0YBqSy6gZYSdueHGYr6q_WzbshJOP6QI3d1jLnHmI3Axg","m_IbM5R-X-7PeYbw90oYRbKMhrOutXbnmzvUNqeyync0YBqSy6gZYSdueHGYr6q_WzbshJOP6QI3d1jLnHmI3Axg","2019-03-14 14:46:36 -0300","2019-03-14 14:46:38 -0300","Teresa Armanda Giraldi",2086655331429289,"https://hi-fbmessages-attachments.s3.amazonaws.com/profile_picture_2086655331429289.jpg?AWSAccessKeyId=AKIAJGQXSCCF2KA57P4Q&Expires=2025625597&Signature=dvwpSzTn6Q0VZPWM814qo1hQhxM%3D","","facebook_page_messages","Prefeitura de Lauro de Freitas","","não avaliada",1,"false","",NA,NA,"t_2220364081355640","","","","","","F","","","","","",""
"14",285572,"Facebook Posts em Page (comentário)","Fiz uma tatoo ah doís meses já posso doar?","http://www.facebook.com/1411969378822513/posts/2302772429742199?comment_id=2302977546388354","2302772429742199_2302977546388354","2019-03-14 14:28:39 -0300","2019-03-14 14:28:50 -0300","Kelly Neves",1978257222267592,"https://hi-fbmessages-attachments.s3.amazonaws.com/profile_picture_1978257222267592.jpg?AWSAccessKeyId=AKIAJGQXSCCF2KA57P4Q&Expires=2025624529&Signature=Em0okTJcCdG9QdTCSNIP8RcF3dk%3D","","facebook_posts_em_page","Prefeitura de Lauro de Freitas","","não avaliada",1,"false","",NA,NA,"1411969378822513_2302772429742199","","","","","","F","","","","","",""
"15",285543,"Facebook Messages","Oi amigos","http://www.facebook.com/messages/t_248365226086669#m_wBoScYxrVKcQyKDlLYY31OfeRFDky9_4Vc8BqJ-XR-aBBGyHTeGsEzihG8rgfb2D0ICEtGStWU7mD-3pGoqCjg","m_wBoScYxrVKcQyKDlLYY31OfeRFDky9_4Vc8BqJ-XR-aBBGyHTeGsEzihG8rgfb2D0ICEtGStWU7mD-3pGoqCjg","2019-03-14 13:45:52 -0300","2019-03-14 13:45:54 -0300","Diego Diegofreitasdetarso",2076844312382276,"https://hi-fbmessages-attachments.s3.amazonaws.com/profile_picture_2076844312382276.jpg?AWSAccessKeyId=AKIAJGQXSCCF2KA57P4Q&Expires=2025621953&Signature=Z62DTGN7kyx121qfffoL8IZoVgU%3D","","facebook_page_messages","Prefeitura de Lauro de Freitas","","não avaliada",1,"false","",NA,NA,"t_248365226086669","","","","","","M","","","","","",""
"16",285542,"Facebook Posts em Page (resposta)","Prefeitura de Lauro de Freitas Sei, essas histórias eu já conhece faz é tempo","http://www.facebook.com/1411969378822513/posts/2297738733578902?comment_id=2302891823063593","2297738733578902_2302891823063593","2019-03-14 13:06:37 -0300","2019-03-14 13:06:44 -0300","Vânia Santos",2095788753807570,"https://hi-fbmessages-attachments.s3.amazonaws.com/profile_picture_2095788753807570.jpg?AWSAccessKeyId=AKIAJGQXSCCF2KA57P4Q&Expires=2025619603&Signature=MIc%2BR8pA2m9kFpJDMSMLmeCvz3Y%3D","","facebook_posts_em_page","Prefeitura de Lauro de Freitas","","não avaliada",1,"false","",NA,NA,"2297738733578902_2302400693112706","","","","","","F","","","","","",""
"17",285541,"Facebook Messages","Por favor","http://www.facebook.com/messages/t_1821310351261892#m_a4wU3_uWtI5-Hr92e9tzMGViha_k7H-QIVfQXywtV-BYvUJ03D3OuHGVNaUpfhGzMAwa_kgPoc-eWMRyfzLbEg","m_a4wU3_uWtI5-Hr92e9tzMGViha_k7H-QIVfQXywtV-BYvUJ03D3OuHGVNaUpfhGzMAwa_kgPoc-eWMRyfzLbEg","2019-03-14 13:04:27 -0300","2019-03-14 13:04:29 -0300","Taninha Regis",2420268101322715,"https://hi-fbmessages-attachments.s3.amazonaws.com/profile_picture_2420268101322715.jpg?AWSAccessKeyId=AKIAJGQXSCCF2KA57P4Q&Expires=2025619468&Signature=LUtWmgl5hADfeFU768v4QYNNJ5o%3D","","facebook_page_messages","Prefeitura de Lauro de Freitas","","não avaliada",1,"false","",NA,NA,"t_1821310351261892","","","","","","F","","","","","",""
"18",285540,"Facebook Messages","Boa tarde","http://www.facebook.com/messages/t_1821310351261892#m_hajadpiNhZDKCVW2zzfsjmViha_k7H-QIVfQXywtV-Ct3yVfLV3YAcMn5REzK_sKYs8GvVNTlUwJWyEieauQ7g","m_hajadpiNhZDKCVW2zzfsjmViha_k7H-QIVfQXywtV-Ct3yVfLV3YAcMn5REzK_sKYs8GvVNTlUwJWyEieauQ7g","2019-03-14 13:04:21 -0300","2019-03-14 13:04:23 -0300","Taninha Regis",2420268101322715,"https://hi-fbmessages-attachments.s3.amazonaws.com/profile_picture_2420268101322715.jpg?AWSAccessKeyId=AKIAJGQXSCCF2KA57P4Q&Expires=2025619462&Signature=zKF9QTa9PJnNy73Ju5NTJh8DBD8%3D","","facebook_page_messages","Prefeitura de Lauro de Freitas","","não avaliada",1,"false","",NA,NA,"t_1821310351261892","","","","","","F","","","","","",""
"19",285539,"Facebook Messages","Quando terá concurso??","http://www.facebook.com/messages/t_1821310351261892#m_MHz4PZWj3Y27g6V8mdX-wGViha_k7H-QIVfQXywtV-B46DbEIAfJrWUuZPe70TfIDIdKXb6XgBs3FEATXrH37g","m_MHz4PZWj3Y27g6V8mdX-wGViha_k7H-QIVfQXywtV-B46DbEIAfJrWUuZPe70TfIDIdKXb6XgBs3FEATXrH37g","2019-03-14 13:04:09 -0300","2019-03-14 13:04:10 -0300","Taninha Regis",2420268101322715,"https://hi-fbmessages-attachments.s3.amazonaws.com/profile_picture_2420268101322715.jpg?AWSAccessKeyId=AKIAJGQXSCCF2KA57P4Q&Expires=2025619449&Signature=YblR7itK4FnoBmxsuqd3QPOWSSc%3D","","facebook_page_messages","Prefeitura de Lauro de Freitas","","não avaliada",1,"false","",NA,NA,"t_1821310351261892","","","","","","F","","","","","",""
